Product,Prefab name,Category,Price (EUR),Calories (kcal),Fat (g),Sugar (g),Protein (g),Carbohydrate (g),Alcohol (%),Lactose (Y/N),Gluten (Y/N),Vegan/Vegetarian/N
Gut&Guenstig Choco Drink,ChocolatePowder,Baking,2.99,378,3.1,78,4.5,79.9,0,N,N,Vegan
Dinkel Vollkornmehl dmBio,Flour_Blue,Baking,1.45,353,2.6,1.7,14,64,0,N,N,Vegan
Gut&Guenstig Weizenmehl Type 405,Flour_Orange,Baking,0.79,340,1,0.3,9.8,70.9,0,N,Y,Vegan
Belbake Weizenmehl Type 405,Flour_Red,Baking,0.79,341,1,0.4,10,71,0,N,Y,Vegan
REWE Bio Rohrohrzucker,Sugar_Bag_DaronGreen,Baking,2.79,396,0.5,96.7,0.5,97.4,0,N,N,Vegan
REWE Beste Wahl Brauner Rohrzucker,Sugar_Bag_DaronOrange,Baking,1.49,400,0,100,0,100,0,N,N,Vegan
Suedzucker Feinster Ruebenzucker,Sugar_Bag_DaronRed,Baking,1.99,400,0,100,0,100,0,N,N,Vegan
Gut&Guenstig Feiner Zucker,Sugar_Bag_Pablo,Baking,1.49,400,0,100,0,100,0,N,N,Vegan
Zucker weiss,Sugar_Box_Daron,Baking,1.49,405,0,99.8,0,99.8,0,N,N,Vegan
Alnatura Vollrohrohrzucker,Sugar_Box_SusuOrange,Baking,2.89,380,0.5,95,0,95,0,N,N,Vegan
Alnatura Bio Rohrohrzucker,Sugar_Box_SusuWhite,Baking,2.69,388,0.5,97,0.5,97,0,N,N,Vegan
ja! Puderzucker Rewe,Sugar_Powder,Baking,0.49,400,0,100,0,100,0,N,N,Vegan
Grand Marnier Cuvee Louis Alexandre Orangenlikoer,Alcohol_Cognac,Beverages Alcoholic,45.99,318,0,28.3,0,28.3,40,N,N,Vegan
Gorbatschow Wodka,Alcohol_VodkaBlue,Beverages Alcoholic,12.49,207,0,0,0,0,37.5,N,N,Vegan
Gorbatschow Wodka,Alcohol_VodkaBlue2,Beverages Alcoholic,12.49,207,0,0,0,0,37.5,N,N,Vegan
Wodka Trojka Red,Alcohol_VodkaRed,Beverages Alcoholic,14.5,231,0,0,0,0,24,N,N,Vegan
Wodka Trojka Red,Alcohol_VodkaRed2,Beverages Alcoholic,14.5,231,0,0,0,0,24,N,N,Vegan
Nikka Taketsuru Pure Malt ,Alcohol_WhiskyRound,Beverages Alcoholic,59.9,244,0,0.11,0,0.11,43,N,Y,Vegan
Jack Daniel's Old No. 7 Whiskey,Alcohol_WhiskySquare,Beverages Alcoholic,24.7,66,0,0,0,0,40,N,N,Vegan
Leffe Blonde 6L,BeerKeg_Blond,Beverages Alcoholic,23.99,35,0.01,3.8,0.19,4.8,6.6,N,Y,Vegan
Oettinger Pils 6L,BeerKeg_Blue,Beverages Alcoholic,10.5,40.4,0.1,0.2,0.5,2.8,4.7,N,Y,Vegan
Heineken 6L,BeerKeg_Green,Beverages Alcoholic,16.49,42,0,0,0,3.2,5,N,Y,Vegan
Leffe Blonde,BeerPack_Blond,Beverages Alcoholic,15.43,35,0.01,3.8,0.19,4.8,6.6,N,Y,Vegan
Oettinger Pils,BeerPack_Blue,Beverages Alcoholic,2.49,40.4,0.1,0.2,0.5,2.8,4.7,N,Y,Vegan
Becks Pils,BeerPack_Premium,Beverages Alcoholic,4.99,38,0,0.1,0.4,2.2,4.9,N,Y,Vegan
Leffe Blonde,Beer_Blond,Beverages Alcoholic,1.99,35,0.01,3.8,0.19,4.8,6.6,N,Y,Vegan
Bier (Berliner Pilsner),Beer_Green,Beverages Alcoholic,2.49,42,0,0.17,0.5,3.12,5,N,Y,Vegan
Becks Pils,Beer_Green_BK,Beverages Alcoholic,1.19,38,0,0.1,0.4,2.2,4.9,N,Y,Vegan
Weisswein (Region Rott Hessische Bergstrasse),Wine_GreenBlack,Beverages Alcoholic,6.49,73,0,2.58,0.15,2.6,11.5,N,N,Vegan
Rotwein leicht (Confidura Merlot Syrah),Wine_GreenRed,Beverages Alcoholic,8.99,68,0,0.57,0.22,2.4,14.5,N,N,Vegan
Rotwein mittel Qualitaetswein (Ricossa Barolo),Wine_Red,Beverages Alcoholic,23.83,68,0,2.34,0.22,2.4,14,N,N,Vegan
Apfelsaft Gut&Guenstig,Juice_Apple,Beverages Nonalcoholic,1.82,44,0.1,9.8,0.1,10.2,0,N,N,Vegan
EDEKA Fruchtliebe Milde Orange,Juice_Orange,Beverages Nonalcoholic,1.49,43,0.2,9,0.7,9,0,N,N,Vegan
Coca-Cola,Soda_Bottle_Cola,Beverages Nonalcoholic,1.11,42,0,10.6,0,10.6,0,N,N,Vegan
Orangina Rouge,Soda_Bottle_JusTsistu,Beverages Nonalcoholic,1.3,41,0,9.7,0,9.9,0,N,N,Vegan
Coca-Cola Zero,Soda_Bottle_Koujeima,Beverages Nonalcoholic,1.11,0,0,0,0.01,0.1,0,N,N,Vegan
Fanta Orange,Soda_Bottle_Pulp,Beverages Nonalcoholic,1.11,39,0.1,9.4,0.1,9.5,0,N,N,Vegan
Schwip Schwap,Soda_Bottle_Ropico,Beverages Nonalcoholic,1.05,43,0,10.2,0.1,10.9,0,N,N,Vegan
Pepsi Cola,Soda_Bottle_SodaPop,Beverages Nonalcoholic,0.95,44,0,10,0,10,0,N,N,Vegan
Sprite,Soda_Bottle_ZapPop,Beverages Nonalcoholic,1.11,37,0,9.1,0,9.1,0,N,N,Vegan
Coca-Cola,Soda_Cans_Cola,Beverages Nonalcoholic,7.14,42,0,10.6,0,10.6,0,N,N,Vegan
Pepsi Cola,Soda_Cans_SodaPop,Beverages Nonalcoholic,4.99,44,0,10,0,10,0,N,N,Vegan
Sprite,Soda_Cans_ZapSoda,Beverages Nonalcoholic,7.14,37,0,9.1,0,9.1,0,N,N,Vegan
ViO,Water_Blue,Beverages Nonalcoholic,2.99,0,0,0,0,0,0,N,N,Vegan
Gut&Guenstig Mineralwasser,Water_Red,Beverages Nonalcoholic,0.19,0,0,0,0,0,0,N,N,Vegan
Gerolsteiner Mineralwasser Medium,Water_White,Beverages Nonalcoholic,1.5,0,0,0,0,0,0,N,N,Vegan
Zitronenkuchen Gut&Guenstig,Cake_BagBlue,Bread and Bakery,1.99,449,23.2,31.3,4.8,56.5,0,Y,Y,Vegetarian
REWE Madeleines,Cake_BagRed,Bread and Bakery,2.19,442,26,26,5.4,46,0,Y,Y,Vegetarian
Marmorkuchen Gut&Guenstig,Cake_BagWhite,Bread and Bakery,1.29,443,23.9,31.7,4.8,53.6,0,Y,Y,Vegetarian
Marmorkuchen glutenfrei Dr. Schaer AG,Cake_BoxGrey,Bread and Bakery,3.79,409,19,26,4.8,53,0,N,N,Vegetarian
Marmorkuchen glutenfrei Poensgen,Cake_BoxRed,Bread and Bakery,4.99,387,19.4,25,4,49.1,0,Y,N,Vegetarian
Marmorkuchen Dr Oetker,Cake_BoxYellow,Bread and Bakery,2.99,464,25,30,5.6,56,0,Y,Y,Vegetarian
Golden Toast Butter 500,SlicedBread_Large,Bread and Bakery,1.59,265,3.8,4,8.2,48,0,N,Y,Vegetarian
Golden Toast Butter 250,SlicedBread_Small,Bread and Bakery,0.79,265,3.8,4,8.2,48,0,N,Y,Vegetarian
Nestle Nesquik Knusperfruehstueck,Cereals_Chokipik,Breakfast,5.34,113,2.6,6.7,0.8,22.6,0,N,Y,Vegetarian
Nestle Cookie Crisp,Cereals_CrispyChibi,Breakfast,3.99,388,5,22,6.7,76,0,Y,Y,Vegetarian
Kelloggs Honey Loops,Cereals_HoneyBees,Breakfast,5,396,4.4,22,9.3,76,0,N,Y,Vegetarian
Alnatura Schokocreme mit Keks,ChocolateSpread_Brown,Breakfast,3.99,554,34,54,4.6,56,0,Y,Y,Vegetarian
Nutella,ChocolateSpread_White,Breakfast,4.79,539,30.9,56.3,6.3,57.9,0,Y,N,Vegetarian
Jacobs Kroenung Kraeftig,Coffee_Black,Breakfast,9.7,1,0,0.1,0.2,0.1,0,N,N,Vegan
Jacobs Kroenung Entkoffeiniert,Coffee_Blue,Breakfast,9.7,1,0,0.2,0.1,0.2,0,N,N,Vegan
Jacobs Kroenung Klassisch,Coffee_Pink,Breakfast,9.7,2,0,0.1,0.2,0.3,0,N,N,Vegan
Imkerhonig Gut&Guenstig,Honey,Breakfast,2.69,302,0,75.1,0.04,75.1,0,N,N,Vegetarian
EDEKA Feines Fruchtmousse Erdbeer,Jam,Breakfast,1.89,213,0.3,50.3,0.5,50.5,0,N,N,Vegan
Gut&Guenstig Thunfisch,TinCan_Blue_Small,Canned Food,1.29,107,0.8,0,25,0,0,N,N,N
Gut&Guenstig Junge Erbsen extra fein,TinCan_Green_Large,Canned Food,0.99,72,0.5,3,5.5,8,0,N,N,Vegan
Gut&Guenstig Rote Kidneybohnen,TinCan_Red_Medium,Canned Food,1.55,106,0.8,2.5,9.4,13,0,N,N,Vegan
