ParticipantID,Technique1,FOV1,FOV2,Technique2,FOV3,FOV4,Technique3,FOV5,FOV6,Technique4,FOV7,FOV8
1,Color,In,Out,Outline,In,Out,Link,In,Out,Arrow,In,Out
2,Arrow,In,Out,Color,In,Out,Outline,In,Out,Link,In,Out
3,Link,In,Out,Arrow,In,Out,Color,In,Out,Outline,In,Out
4,Outline,In,Out,Link,In,Out,Arrow,In,Out,Color,In,Out
5,Color,In,Out,Outline,In,Out,Link,In,Out,Arrow,In,Out
6,Arrow,In,Out,Color,In,Out,Outline,In,Out,Link,In,Out
7,Link,In,Out,Arrow,In,Out,Color,In,Out,Outline,In,Out
8,Outline,In,Out,Link,In,Out,Arrow,In,Out,Color,In,Out
9,Color,In,Out,Outline,In,Out,Link,In,Out,Arrow,In,Out
10,Arrow,In,Out,Color,In,Out,Outline,In,Out,Link,In,Out
11,Link,In,Out,Arrow,In,Out,Color,In,Out,Outline,In,Out
12,Outline,In,Out,Link,In,Out,Arrow,In,Out,Color,In,Out
13,Color,In,Out,Outline,In,Out,Link,In,Out,Arrow,In,Out
14,Arrow,In,Out,Color,In,Out,Outline,In,Out,Link,In,Out
15,Link,In,Out,Arrow,In,Out,Color,In,Out,Outline,In,Out
16,Outline,In,Out,Link,In,Out,Arrow,In,Out,Color,In,Out
17,Color,In,Out,Outline,In,Out,Link,In,Out,Arrow,In,Out
18,Arrow,In,Out,Color,In,Out,Outline,In,Out,Link,In,Out
19,Link,In,Out,Arrow,In,Out,Color,In,Out,Outline,In,Out
20,Outline,In,Out,Link,In,Out,Arrow,In,Out,Color,In,Out
